question_text,question_category,question_tags,explanation,correct_index,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9
Choose the correct form: They ___ football on Saturdays.,Present Simple,"Grammar,A1",Use the base form with they.,2,plays,play,playing,played,,,,,
Choose the correct form: He ___ coffee every morning.,Present Simple,"Grammar,A1",Use -s with he/she/it.,2,drink,drinks,drinking,dranked,,,,,
Choose the correct form: We ___ TV in the evening.,Present Simple,"Grammar,A1",Use the base form with we.,1,watch,watches,watching,watched,,,,,
Choose the correct form: The dog ___ a lot.,Present Simple,"Grammar,A1",Use -s with singular subjects.,2,bark,barks,barking,barked,,,,,
Choose the correct form: I ___ to music after dinner.,Present Simple,"Grammar,A1",Use the base form with I.,1,listen,listens,listening,listened,,,,,
Choose the correct form: She ___ her homework every day.,Present Simple,"Grammar,A1",Use -s with she.,2,do,does,doing,did,,,,,
True or false: 'I goed to the store' is grammatically correct.,Irregular Verbs,"Grammar,A1","'Go' is irregular; the past tense is 'went', not 'goed'.",2,True,False,,,,,,,
Choose the correct past form: She ___ to Paris last year.,Irregular Verbs,"Grammar,A1",Went is the irregular past tense of go.,3,goed,gos,went,go,,,,,
Choose the correct past form: He ___ his keys yesterday.,Irregular Verbs,"Grammar,A1",Lost is the irregular past tense of lose.,2,losed,lost,lose,loses,,,,,
Choose the correct past form: They ___ the cake at the party.,Irregular Verbs,"Grammar,A1",Ate is the irregular past tense of eat.,1,ate,eated,eat,eating,,,,,
Choose the correct past form: I ___ a great book last week.,Irregular Verbs,"Grammar,A1",Read (past tense) is spelled the same as the present but pronounced differently.,4,readed,reads,reading,read,,,,,
Choose the closest synonym for 'happy'.,Synonyms,"Vocabulary,A2",Glad is a close synonym of happy.,1,glad,angry,tired,bored,confused,,,,
Choose the closest synonym for 'big'.,Synonyms,"Vocabulary,A2",Large is a close synonym of big.,3,tiny,short,large,narrow,thin,,,,
Choose the closest synonym for 'fast'.,Synonyms,"Vocabulary,A2",Quick is a close synonym of fast.,2,slow,quick,heavy,quiet,soft,,,,
Choose the closest synonym for 'smart'.,Synonyms,"Vocabulary,A2",Clever is a close synonym of smart.,4,lazy,rude,shy,clever,plain,,,,
Choose the closest synonym for 'sad'.,Synonyms,"Vocabulary,A2",Unhappy is a close synonym of sad.,5,funny,brave,calm,loud,unhappy,,,,
Put the words in order: yesterday / to / went / I / the / market /.,Word Order,"Grammar,B1",Standard SVO order places the time expression at the end.,1,I went to the market yesterday.,Yesterday market the to went I.,I to the market went yesterday.,Went I yesterday to the market.,,,,,
Which word order is correct for a yes/no question?,Word Order,"Grammar,B1",Auxiliary verbs invert with the subject in questions.,2,You are ready?,Are you ready?,You ready are?,Ready you are?,,,,,
Which sentence has correct adjective order?,Word Order,"Grammar,B1",English adjective order is opinion-size-age-shape-color-origin-material-purpose.,1,A beautiful small old round black wooden box.,A wooden black round old small beautiful box.,A box beautiful small old round black wooden.,A small beautiful box.,,,,,
Which sentence places the adverb correctly?,Word Order,"Grammar,B1",Adverbs of frequency usually go before the main verb.,3,I always am late.,I am always late for work not.,I am always late.,Always I am late.,,,,,
Choose the sentence with the correct word order among all nine options.,Word Order,"Grammar,B1",Only option 9 follows correct subject-verb-object order.,9,Market I yesterday went to the.,To the market yesterday I went.,Yesterday I the market to went.,Went to market the I yesterday.,The market yesterday to I went.,I market the yesterday went to.,To market the I went yesterday.,Market to the yesterday went I.,I went to the market yesterday.
Which question word order is correct?,Word Order,"Grammar,B1",Wh-question word order is question word + auxiliary + subject + verb.,1,Where are you going?,Where you are going?,You are going where?,Going where you are?,,,,,
Which sentence uses a semicolon correctly?,Punctuation,"Writing,B1",A semicolon links two related independent clauses.,1,I was tired; I went to bed early.,"I was tired, I went to bed early;","I was; tired, I went to bed early.",I was tired I went; to bed early.,,,,,
Which sentence uses an Oxford comma?,Punctuation,"Writing,B1",The Oxford comma appears before 'and' in a list of three or more items.,2,"I bought apples, pears and milk.","I bought apples, pears, and milk.",I bought apples pears and milk.,"I bought, apples pears, and milk.",,,,,
Choose the best topic sentence for a paragraph about recycling.,Punctuation,"Writing,B1",A topic sentence should state the paragraph's main idea clearly.,3,Yesterday it rained all day.,My favorite color is green.,Recycling helps protect the environment for future generations.,I have three brothers.,,,,,
Which phrase is most appropriate in a formal academic essay?,Formal Register,"Academic English,C1",'Furthermore' is a formal connective; casual fillers are not appropriate in academic writing.,2,It's like really important.,"Furthermore, this evidence supports the claim.",So yeah this is a big deal.,Anyway this matters a lot.,,,,,
Which phrase best introduces a counterargument in an academic essay?,Formal Register,"Academic English,C1",'Nevertheless' formally signals a contrasting point.,1,"Nevertheless, some scholars disagree.",But whatever some people think differently.,Anyway some people disagree.,So some people don't agree.,,,,,
This row is intentionally missing an explanation.,Articles,"Grammar,A1",,1,a,an,the,,,,,,
Choose the correct level tag row with an unknown level.,Prepositions,"Grammar,Z9",This row has an invalid level and must be rejected.,1,in,on,at,,,,,,
Choose the correct level tag row with an unknown category.,Mystery Topic,"Nonsense,A1",This row has an unrecognized quiz category and must be rejected.,1,yes,no,,,,,,,
This row has a correct_index out of range.,Prepositions,"Grammar,A1",correct_index points past the number of answers.,5,in,on,at,,,,,,
This row has duplicate answers.,Prepositions,"Grammar,A1",Two answer options are identical.,1,at,at,on,,,,,,
