question_text,correct_index,answer_1,answer_2,answer_3,answer_4
Choose the correct form: She ___ to school every day.,2,go,goes,going,gone
Choose the correct form: They ___ football on Saturdays.,2,plays,play,playing,played
Choose the correct form: He ___ coffee every morning.,2,drink,drinks,drinking,drank
Choose the correct form: We ___ TV in the evening.,1,watch,watches,watching,watched
Choose the correct form: I ___ to music after dinner.,1,listen,listens,listening,listened
Choose the closest synonym for happy.,1,glad,angry,tired,bored
Choose the closest synonym for big.,3,tiny,short,large,narrow
Choose the closest synonym for fast.,2,slow,quick,heavy,quiet
Put the words in order: yesterday / to / went / I / the / market /.,1,I went to the market yesterday.,Yesterday market the to went I.,I to the market went yesterday.,Went I yesterday to the market.
True or false: I goed to the store is grammatically correct.,2,True,False
