quiz_id,level,title,description,quiz_category,quiz_tags,version,status,question_number,question_text,question_category,question_tags,explanation,correct_index,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9
a1-001,A1,Present Simple,Practice Present Simple.,Grammar,"Grammar,A1",1,published,1,Choose the correct form: She ___ to school every day.,Grammar,"Grammar,A1",Use -s with he/she/it in the present simple.,1,goes,go,going,gone,,,,,
a1-001,A1,Present Simple,Practice Present Simple.,Grammar,"Grammar,A1",1,published,2,Choose the correct form: He ___ coffee every morning.,Grammar,"Grammar,A1",Use -s with he/she/it in the present simple.,3,go,going,goes,gone,,,,,
a1-001,A1,Present Simple,Practice Present Simple.,Grammar,"Grammar,A1",1,published,3,Choose the correct form: My sister ___ English at school.,Grammar,"Grammar,A1",Use -s with he/she/it in the present simple.,2,go,goes,going,gone,,,,,
a1-001,A1,Present Simple,Practice Present Simple.,Grammar,"Grammar,A1",1,published,4,Choose the correct form: The bus ___ at seven every day.,Grammar,"Grammar,A1",Use -s with he/she/it in the present simple.,4,go,going,gone,goes,,,,,
a1-001,A1,Present Simple,Practice Present Simple.,Grammar,"Grammar,A1",1,published,5,Choose the correct form: Tom ___ his homework after dinner.,Grammar,"Grammar,A1",Use -s with he/she/it in the present simple.,4,go,going,gone,goes,,,,,
a1-002,A1,Be: am/is/are,Practice Be: am/is/are.,Grammar,"Grammar,A1",1,published,1,I ___ a student.,Grammar,"Grammar,A1",Use am with the pronoun I in the present simple.,2,is,am,are,be,,,,,
a1-002,A1,Be: am/is/are,Practice Be: am/is/are.,Grammar,"Grammar,A1",1,published,2,She ___ my friend.,Grammar,"Grammar,A1","Use is with he, she, or it in the present simple.",1,am,is,are,be,,,,,
a1-002,A1,Be: am/is/are,Practice Be: am/is/are.,Grammar,"Grammar,A1",1,published,3,We ___ ready for class.,Grammar,"Grammar,A1",Use are with we in the present simple.,4,is,are,be,am,,,,,
a1-002,A1,Be: am/is/are,Practice Be: am/is/are.,Grammar,"Grammar,A1",1,published,4,They ___ at home today.,Grammar,"Grammar,A1",Use are with they in the present simple.,3,is,are,am,be,,,,,
a1-002,A1,Be: am/is/are,Practice Be: am/is/are.,Grammar,"Grammar,A1",1,published,5,You ___ very kind.,Grammar,"Grammar,A1",Use are with you in the present simple.,3,is,are,am,be,,,,,
a1-003,A1,Articles,Practice Articles.,Grammar,"Grammar,A1",1,published,1,I have ___ apple.,Grammar,"Grammar,A1",Use an before a vowel sound.,1,an,a,the,some,,,,,
a1-003,A1,Articles,Practice Articles.,Grammar,"Grammar,A1",1,published,2,She ate ___ orange after lunch.,Grammar,"Grammar,A1",Use an before a vowel sound.,2,a,an,the,some,,,,,
a1-003,A1,Articles,Practice Articles.,Grammar,"Grammar,A1",1,published,3,He bought ___ new notebook.,Grammar,"Grammar,A1",Use an before a vowel sound.,4,a,the,some,an,,,,,
a1-003,A1,Articles,Practice Articles.,Grammar,"Grammar,A1",1,published,4,I saw ___ elephant at the zoo.,Grammar,"Grammar,A1",Use an before a vowel sound.,3,a,the,an,some,,,,,
a1-003,A1,Articles,Practice Articles.,Grammar,"Grammar,A1",1,published,5,We need ___ umbrella today.,Grammar,"Grammar,A1",Use an before a vowel sound.,4,a,the,some,an,,,,,
a1-004,A1,Plural Nouns,Practice Plural Nouns.,Grammar,"Grammar,A1",1,published,1,There are two ___ on the table.,Grammar,"Grammar,A1",Most regular nouns take -s in the plural.,4,book,bookes,a book,books,,,,,
a1-004,A1,Plural Nouns,Practice Plural Nouns.,Grammar,"Grammar,A1",1,published,2,There are two ___ in the garden.,Grammar,"Grammar,A1",Most regular nouns take -s in the plural.,2,book,books,bookes,a book,,,,,
a1-004,A1,Plural Nouns,Practice Plural Nouns.,Grammar,"Grammar,A1",1,published,3,I bought three ___ yesterday.,Grammar,"Grammar,A1",Most regular nouns take -s in the plural.,1,books,book,bookes,a book,,,,,
a1-004,A1,Plural Nouns,Practice Plural Nouns.,Grammar,"Grammar,A1",1,published,4,The shop has five ___ on the shelf.,Grammar,"Grammar,A1",Most regular nouns take -s in the plural.,3,book,bookes,books,a book,,,,,
a1-004,A1,Plural Nouns,Practice Plural Nouns.,Grammar,"Grammar,A1",1,published,5,We saw two ___ near the house.,Grammar,"Grammar,A1",Most regular nouns take -s in the plural.,2,book,books,bookes,a book,,,,,
a1-005,A1,There is / There are,Practice There is / There are.,Grammar,"Grammar,A1",1,published,1,___ three chairs in the room.,Grammar,"Grammar,A1",Use There are with plural nouns.,4,There is,It is,They are,There are,,,,,
a1-005,A1,There is / There are,Practice There is / There are.,Grammar,"Grammar,A1",1,published,2,There are two windows in this room.,Grammar,"Grammar,A1",Use There are with plural nouns.,3,There is,It is,There are,They are,,,,,
a1-005,A1,There is / There are,Practice There is / There are.,Grammar,"Grammar,A1",1,published,3,There are four students in the library.,Grammar,"Grammar,A1",Use There are with plural nouns.,1,There are,There is,It is,They are,,,,,
a1-005,A1,There is / There are,Practice There is / There are.,Grammar,"Grammar,A1",1,published,4,There are three books on the desk.,Grammar,"Grammar,A1",Use There are with plural nouns.,2,There is,There are,It is,They are,,,,,
a1-005,A1,There is / There are,Practice There is / There are.,Grammar,"Grammar,A1",1,published,5,There are five chairs near the door.,Grammar,"Grammar,A1",Use There are with plural nouns.,1,There are,There is,It is,They are,,,,,
a1-006,A1,Can,Practice Can.,Grammar,"Grammar,A1",1,published,1,I ___ how to swim.,Grammar,"Grammar,A1",Can is followed by the base form of the verb.,1,can,cans,am can,can to,,,,,
a1-006,A1,Can,Practice Can.,Grammar,"Grammar,A1",1,published,2,She ___ speak French.,Grammar,"Grammar,A1",Can is followed by the base form of the verb.,4,cans,am can,can to,can,,,,,
