quiz_id,level,title,description,quiz_category,quiz_tags,version,status,question_number,question_text,question_category,question_tags,explanation,correct_index,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9
a1-001,A1,Present Simple,Practice Present Simple.,Grammar,"Grammar,A1",1,published,1,Choose the correct form: She ___ to school every day.,Grammar,"Grammar,A1",Use -s with he/she/it in the present simple.,2,go,goes,going,gone,,,,,
a1-001,A1,Present Simple,Practice Present Simple.,Grammar,"Grammar,A1",1,published,2,Choose the correct form: They ___ football on Saturdays.,Grammar,"Grammar,A1",Use the base form with they.,2,plays,play,playing,played,,,,,
a1-001,A1,Present Simple,Practice Present Simple.,Grammar,"Grammar,A1",1,published,3,Choose the correct form: He ___ coffee every morning.,Grammar,"Grammar,A1",Use -s with he/she/it.,2,drink,drinks,drinking,dranked,,,,,
a1-001,A1,Present Simple,Practice Present Simple.,Grammar,"Grammar,A1",1,published,4,Choose the correct form: We ___ TV in the evening.,Grammar,"Grammar,A1",Use the base form with we.,1,watch,watches,watching,watched,,,,,
a1-001,A1,Present Simple,Practice Present Simple.,Grammar,"Grammar,A1",1,published,5,Choose the correct form: The dog ___ a lot.,Grammar,"Grammar,A1",Use -s with singular subjects.,2,bark,barks,barking,barked,,,,,
a1-001,A1,Present Simple,Practice Present Simple.,Grammar,"Grammar,A1",1,published,6,Choose the correct form: I ___ to music after dinner.,Grammar,"Grammar,A1",Use the base form with I.,1,listen,listens,listening,listened,,,,,
a1-001,A1,Present Simple,Practice Present Simple.,Grammar,"Grammar,A1",1,published,7,Choose the correct form: She ___ her homework every day.,Grammar,"Grammar,A1",Use -s with she.,2,do,does,doing,did,,,,,
a1-002,A1,Be: am/is/are,Practice Be: am/is/are.,Grammar,"Grammar,A1",1,published,1,I ___ a student.,Grammar,"Grammar,A1",Use am with I.,1,am,is,are,be,,,,,
a1-003,A1,Articles,Practice Articles.,Grammar,"Grammar,A1",1,published,1,I have ___ apple.,Grammar,"Grammar,A1",Use an before a vowel sound.,2,a,an,the,some,,,,,
a1-003,A1,Articles,Practice Articles.,Grammar,"Grammar,A1",1,published,2,This row is intentionally missing an explanation.,Grammar,"Grammar,A1","The correct answer is ""a"".",1,a,an,the,,,,,,
a1-004,A1,Plural Nouns,Practice Plural Nouns.,Grammar,"Grammar,A1",1,published,1,There are two ___ on the table.,Grammar,"Grammar,A1",Most regular nouns take -s in the plural.,2,book,books,bookes,a book,,,,,
a1-005,A1,There is / There are,Practice There is / There are.,Grammar,"Grammar,A1",1,published,1,___ three chairs in the room.,Grammar,"Grammar,A1",Use There are with plural nouns.,2,There is,There are,It is,They are,,,,,
a1-006,A1,Can,Practice Can.,Grammar,"Grammar,A1",1,published,1,I ___ swim.,Grammar,"Grammar,A1",Can is followed by the base form of the verb.,1,can,cans,am can,can to,,,,,
a1-007,A1,Past Simple,Practice Past Simple.,Grammar,"Grammar,A1",1,published,1,"Yesterday, I ___ at home.",Grammar,"Grammar,A1",Use the past simple for a finished past action.,2,stay,stayed,stays,staying,,,,,
a1-008,A1,Possessive Adjectives,Practice Possessive Adjectives.,Grammar,"Grammar,A1",1,published,1,This is ___ book. I own it.,Grammar,"Grammar,A1",My comes before a noun.,1,my,me,I,mine,,,,,
a1-009,A1,Prepositions,Practice Prepositions.,Grammar,"Grammar,A1",1,published,1,The keys are ___ the table.,Grammar,"Grammar,A1",Use on for a surface.,2,in,on,at,to,,,,,
a1-010,A1,Question Words,Practice Question Words.,Grammar,"Grammar,A1",1,published,1,___ is your name?,Grammar,"Grammar,A1",What asks for information about a thing or name.,2,Where,What,When,Who,,,,,
a1-011,A1,Irregular Verbs,Practice Irregular Verbs.,Grammar,"Grammar,A1",1,draft,1,True or false: 'I goed to the store' is grammatically correct.,Grammar,"Grammar,A1","'Go' is irregular; the past tense is 'went', not 'goed'.",2,True,False,,,,,,,
