code,severity,scope,ref,message
CQ-C07,info,answers,"row 157 (quiz_id=b2-002, q=1)",answer options have inconsistent capitalization shape; review parallelism
CQ-C07,info,answers,"row 158 (quiz_id=b2-002, q=2)",answer options have inconsistent capitalization shape; review parallelism
CQ-C07,info,answers,"row 159 (quiz_id=b2-002, q=3)",answer options have inconsistent capitalization shape; review parallelism
CQ-C07,info,answers,"row 160 (quiz_id=b2-002, q=4)",answer options have inconsistent capitalization shape; review parallelism
CQ-C07,info,answers,"row 161 (quiz_id=b2-002, q=5)",answer options have inconsistent capitalization shape; review parallelism
CQ-D02,info,explanation,102/103/104/105/106,same normalized explanation reused 5 times across quiz(es): b1-001
CQ-D02,info,explanation,107/108/109/110/111,same normalized explanation reused 5 times across quiz(es): b1-002
CQ-D02,info,explanation,112/113/114/115/116,same normalized explanation reused 5 times across quiz(es): b1-003
CQ-D02,info,explanation,117/118/119/120/121,same normalized explanation reused 5 times across quiz(es): b1-004
CQ-D02,info,explanation,12/13/14/15/16,same normalized explanation reused 5 times across quiz(es): a1-003
CQ-D02,info,explanation,122/123/124/125/126,same normalized explanation reused 5 times across quiz(es): b1-005
CQ-D02,info,explanation,127/128/129/130/131,same normalized explanation reused 5 times across quiz(es): b1-006
CQ-D02,info,explanation,132/133/134/135/136,same normalized explanation reused 5 times across quiz(es): b1-007
CQ-D02,info,explanation,137/138/139/140/141,same normalized explanation reused 5 times across quiz(es): b1-008
CQ-D02,info,explanation,142/143/144/145/146,same normalized explanation reused 5 times across quiz(es): b1-009
CQ-D02,info,explanation,147/148/149/150/151,same normalized explanation reused 5 times across quiz(es): b1-010
CQ-D02,info,explanation,152/153/154/155/156,same normalized explanation reused 5 times across quiz(es): b2-001
CQ-D02,info,explanation,157/158/159/160/161,same normalized explanation reused 5 times across quiz(es): b2-002
CQ-D02,info,explanation,162/163/164/165/166,same normalized explanation reused 5 times across quiz(es): b2-003
CQ-D02,info,explanation,167/168/169/170/171,same normalized explanation reused 5 times across quiz(es): b2-004
CQ-D02,info,explanation,17/18/19/20/21,same normalized explanation reused 5 times across quiz(es): a1-004
